205,Coral Springs, Florida,133037,121096,0.0986,23.8 sq mi,61.6 km2,"5,465/sq mi","2,110/km2"
206,Visalia, California,133010,124442,0.0689,37.5 sq mi,97.1 km2,"3,495/sq mi","1,349/km2"
207,Sterling Heights, Michigan,132631,129699,0.0226,36.5 sq mi,94.5 km2,"3,628/sq mi","1,401/km2"
208,Gainesville, Florida,132249,124354,0.0635,62.3 sq mi,161.4 km2,"2,112/sq mi",815/km2
209,Cedar Rapids, Iowa,132228,126326,0.0467,70.8 sq mi,183.4 km2,"1,852/sq mi",715/km2
210,New Haven, Connecticut,131014,129779,0.0095,18.7 sq mi,48.4 km2,"6,948/sq mi","2,683/km2"
211,Stamford, Connecticut,130824,122643,0.0667,37.6 sq mi,97.4 km2,"3,434/sq mi","1,326/km2"
212,Elizabeth, New Jersey,130215,124969,0.042,12.3 sq mi,31.9 km2,"10,459/sq mi","4,038/km2"
213,Concord, California,129783,122067,0.0632,30.5 sq mi,79.0 km2,"4,221/sq mi","1,630/km2"
214,Thousand Oaks, California,128995,126683,0.0183,55.2 sq mi,143.0 km2,"2,335/sq mi",902/km2
215,Kent, Washington,128458,92411,0.3901,33.7 sq mi,87.3 km2,"3,784/sq mi","1,461/km2"
216,Santa Clara, California,127134,116468,0.0916,18.4 sq mi,47.7 km2,"6,845/sq mi","2,643/km2"
217,Simi Valley, California,126878,124237,0.0213,41.5 sq mi,107.5 km2,"3,044/sq mi","1,175/km2"
218,Lafayette, Louisiana,126848,120623,0.0516,53.8 sq mi,139.3 km2,"2,372/sq mi",916/km2
219,Topeka, Kansas,126587,127473,?0.70%,61.5 sq mi,159.3 km2,"2,062/sq mi",796/km2
220,Athens, Georgia,125691,115452,0.0887,116.4 sq mi,301.5 km2,"1,060/sq mi",410/km2
221,Round Rock, Texas,123678,99887,0.2382,35.6 sq mi,92.2 km2,"3,396/sq mi","1,311/km2"
222,Hartford, Connecticut,123400,124775,?1.10%,17.4 sq mi,45.1 km2,"7,083/sq mi","2,735/km2"
223,Norman, Oklahoma,122843,110925,0.1074,178.8 sq mi,463.1 km2,683/sq mi,264/km2
224,Victorville, California,122441,115903,0.0564,73.3 sq mi,189.8 km2,"1,668/sq mi",644/km2
225,Fargo,  North Dakota,122359,105549,0.1593,49.3 sq mi,127.7 km2,"2,450/sq mi",950/km2
226,Berkeley, California,122324,112580,0.0866,10.5 sq mi,27.2 km2,"11,547/sq mi","4,458/km2"
227,Vallejo, California,122105,115942,0.0532,30.7 sq mi,79.5 km2,"3,951/sq mi","1,525/km2"
228,Abilene, Texas,121885,117063,0.0412,106.7 sq mi,276.4 km2,"1,146/sq mi",442/km2
229,Columbia, Missouri,121717,108500,0.1218,65.0 sq mi,168.3 km2,"1,856/sq mi",717/km2
230,Ann Arbor, Michigan,121477,113934,0.0662,28.1 sq mi,72.8 km2,"4,298/sq mi","1,659/km2"
231,Allentown, Pennsylvania,121283,118032,0.0275,17.5 sq mi,45.3 km2,"6,882/sq mi","2,657/km2"
232,Pearland, Texas,119940,91252,0.3144,46.3 sq mi,119.9 km2,"2,453/sq mi",947/km2
233,Beaumont, Texas,119114,118296,0.0069,82.1 sq mi,212.6 km2,"1,441/sq mi",556/km2
234,Wilmington, North Carolina,119045,106476,0.118,51.6 sq mi,133.6 km2,"2,278/sq mi",880/km2
235,Evansville, Indiana,118930,117429,0.0128,47.3 sq mi,122.5 km2,"2,526/sq mi",975/km2
236,Arvada, Colorado,118807,106433,0.1163,38.6 sq mi,100.0 km2,"3,043/sq mi","1,175/km2"
237,Provo, Utah,117335,112488,0.0431,41.7 sq mi,108.0 km2,"2,803/sq mi","1,082/km2"
238,Independence, Missouri,117306,116830,0.0041,77.8 sq mi,201.5 km2,"1,504/sq mi",581/km2
239,Lansing, Michigan,116986,114297,0.0235,39.1 sq mi,101.3 km2,"2,967/sq mi","1,146/km2"
240,Odessa, Texas,116861,99940,0.1693,45.2 sq mi,117.1 km2,"2,608/sq mi","1,007/km2"
241,Richardson, Texas,116783,99223,0.177,28.6 sq mi,74.1 km2,"3,963/sq mi","1,530/km2"
242,Fairfield, California,116266,105321,0.1039,40.9 sq mi,105.9 km2,"2,806/sq mi","1,083/km2"
243,El Monte, California,116109,113475,0.0232,9.6 sq mi,24.9 km2,"12,063/sq mi","4,658/km2"
244,Rochester, Minnesota,115733,106769,0.084,54.6 sq mi,141.4 km2,"2,088/sq mi",806/km2
245,Clearwater, Florida,115513,107685,0.0727,25.9 sq mi,67.1 km2,"4,415/sq mi","1,705/km2"
246,Carlsbad, California,115330,105328,0.095,37.7 sq mi,97.6 km2,"3,023/sq mi","1,167/km2"
247,Springfield, Illinois,114868,116250,?1.19%,60.1 sq mi,155.7 km2,"1,925/sq mi",743/km2
248,Temecula, California,114327,100097,0.1422,37.3 sq mi,96.6 km2,"3,031/sq mi","1,170/km2"
249,West Jordan, Utah,113905,103712,0.0983,32.3 sq mi,83.7 km2,"3,520/sq mi","1,360/km2"
